Liste,Section,Genre,Nom,Position,Tete de liste
ANSAM POU PEYI NOU,Fort-de-France,f,Yvonne ULRIC,11,0
ANSAM POU PEYI NOU,Fort-de-France,m,Hervé ETILE,12,0
ANSAM POU PEYI NOU,Fort-de-France,f,Lijy AUGUSTIN,13,0
ANSAM POU PEYI NOU,Fort-de-France,m,Jean-Panel ORA,14,0
ANSAM POU PEYI NOU,Fort-de-France,f,Daniella MARINE,15,0
ANSAM POU PEYI NOU,Nord,m,Marcellin NADEAU,1,0
ANSAM POU PEYI NOU,Nord,f,Manuela KECLARD-MONDESIR,2,0
ANSAM POU PEYI NOU,Nord,m,Raphaël MARTINE,3,0
ANSAM POU PEYI NOU,Nord,f,Nadine RENARD,4,0
ANSAM POU PEYI NOU,Nord,m,Franck SAINTE-ROSE-ROSEMOND,5,0
ANSAM POU PEYI NOU,Nord,f,Jocelyne SABINE,6,0
ANSAM POU PEYI NOU,Nord,m,Louis-Georges GRIFFIT,7,0
ANSAM POU PEYI NOU,Nord,f,Cynthia YERRO,8,0
ANSAM POU PEYI NOU,Nord,m,Kévin CAPRON,9,0
ANSAM POU PEYI NOU,Nord,f,Sandrine SAINT-AIME,10,0
ANSAM POU PEYI NOU,Nord,m,Jean-François Elie DULEME,11,0
ANSAM POU PEYI NOU,Nord,f,Christine ALIKER,12,0
ANSAM POU PEYI NOU,Nord,m,Guy ANNONAY,13,0
ANSAM POU PEYI NOU,Nord,f,Nadia JEAN-ANGELE HAMADENE,14,0
ANSAM POU PEYI NOU,Nord,m,Jacky Timothée ESPARTERO,15,0
ANSAM POU PEYI NOU,Nord,f,Youly AGASTA,16,0
ANSAM POU PEYI NOU,Sud,m,Jean-Philippe NILOR,1,1
ANSAM POU PEYI NOU,Sud,f,Aurélie NELLA,2,0
ANSAM POU PEYI NOU,Sud,m,Jean-François Emmanuel BEAUNOL,3,0
ANSAM POU PEYI NOU,Sud,f,Christelle HENDERSON,4,0
ANSAM POU PEYI NOU,Sud,m,Georges CLEON,5,0
ANSAM POU PEYI NOU,Sud,f,Michelle BONNAIRE,6,0
ANSAM POU PEYI NOU,Sud,m,Hugues TOUSSAY,7,0
ANSAM POU PEYI NOU,Sud,f,Maryse PLANTIN,8,0
ANSAM POU PEYI NOU,Sud,m,Denis LOUIS-REGIS,9,0
ANSAM POU PEYI NOU,Sud,f,Aurélie BOISNOIR,10,0
ANSAM POU PEYI NOU,Sud,m,Jérémie FERDINAND,11,0
ANSAM POU PEYI NOU,Sud,f,Yasmina ELISABETH,12,0
ANSAM POU PEYI NOU,Sud,m,Roland ROSILLETTE,13,0
ANSAM POU PEYI NOU,Sud,f,Maguy JOACHIM,14,0
ANSAM POU PEYI NOU,Sud,m,Michel-Henri BESSARD,15,0
